event_id;event_label;event_start;event_start_id;event_end;event_end_id;event_description
34;anomaly;2019-08-25 00:00:00;52531;2019-09-16 00:00:00;55699;high temperature
7;anomaly;2026-06-30 00:00:00;52703;2026-07-31 00:00:00;57167;high temperature
53;anomaly;2019-12-27 16:40:00;52559;2020-02-07 16:30:00;58606;Rotor Bearing 2 - Damage
27;anomaly;2018-09-02 00:00:00;52619;2018-11-02 00:00:00;61403;Turbine is stopped due to a main bearing damage
19;anomaly;2025-02-02 00:00:00;52673;2025-02-22 00:00:00;55553;high temperature
77;anomaly;2019-06-02 00:00:00;52991;2019-08-01 00:00:00;61631;Turbine is in standstill since 01.08 due to rotorbearing damage.
83;normal;2026-06-30 00:00:00;52329;2026-09-29 00:00:00;65433;
52;normal;2027-07-13 00:00:00;52675;2027-07-27 00:00:00;54691;
21;normal;2020-09-22 20:10:00;52217;2020-10-01 20:10:00;53513;
2;normal;2026-08-08 19:20:00;52703;2026-08-22 04:20:00;54629;
23;normal;2026-09-16 17:30:00;52559;2026-09-26 11:50:00;53965;
87;normal;2028-09-12 23:00:00;52475;2028-09-28 23:00:00;54779;
74;normal;2028-01-02 23:00:00;52817;2028-01-16 07:00:00;54737;
86;normal;2026-04-27 17:30:00;52703;2026-05-11 01:10:00;54621;
82;normal;2028-09-24 23:00:00;52975;2028-10-06 23:00:00;54703;
